sinco11,descripcion_sinco,ciuo08,descripcion_ciuo
2644,"Trabajadores en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)",7421,Mecánicos y reparadores en electrónica
2645,Técnicos en reparación de equipos electromecánicos,7412,Mecánicos y ajustadores electricistas
2645,Técnicos en reparación de equipos electromecánicos,7421,Mecánicos y reparadores en electrónica
2646,Trabajadores en reparación de equipos electromecánicos,7412,Mecánicos y ajustadores electricistas
2646,Trabajadores en reparación de equipos electromecánicos,7421,Mecánicos y reparadores en electrónica
2649,"Otros técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos, no clasificados anteriormente",NA,No tiene correspondencia
265,Auxiliares y técnicos en informática y en equipos de comunicaciones y grabación,,
2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",3511,Técnicos en operaciones de tecnología de la información y las comunicaciones
2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",3512,Técnicos en asistencia al usuario de tecnología de la información y las comunicaciones
2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",3513,Técnicos en redes y sistemas de computadores
2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",3514,Técnicos de la Web
2652,Técnicos en operaciones de equipos de radio,3521,Técnicos de radiodifusión y grabación audio visual
2652,Técnicos en operaciones de equipos de radio,3522,Técnicos de ingeniería de las telecomunicaciones
2653,Auxiliares y técnicos de equipos de grabación y reproducción de video,3521,Técnicos de radiodifusión y grabación audio visual
2654,"Auxiliares y técnicos de ingeniería de audio, sonido e iluminación",3521,Técnicos de radiodifusión y grabación audio visual
2655,Fotógrafos,3431,Fotógrafos
266,Controladores de tráfico aéreo y de otros transporte,,
2661,Controladores de tráfico aéreo,3154,Controladores de tráfico aéreo
2662,"Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo)",8312,"Guardafrenos, guardagujas y agentes de maniobras"
27,"Auxiliares y técnicos en educación, instructores y capacitadores",,
271,"Auxiliares y técnicos en educación, instructores y capacitadores",,
2711,Auxiliares y técnicos en pedagogía y en educación,NA,No tiene correspondencia
2712,Instructores en estudios y capacitación artística,2354,Otros profesores de música
2712,Instructores en estudios y capacitación artística,2355,Otros profesores de artes
2713,Instructores en estudios y capacitación comercial y administrativa,2359,Profesionales de la enseñanza no clasificados bajo otros epígrafes
2713,Instructores en estudios y capacitación comercial y administrativa,2356,Instructores en tecnología de la información
2714,Instructores en idiomas extranjeros,2353,Otros profesores de idiomas
2715,Instructores y capacitadores en oficios y para el trabajo,2359,Profesionales de la enseñanza no clasificados bajo otros epígrafes
2715,Instructores y capacitadores en oficios y para el trabajo,5165,Instructores de autoescuela
2716,Profesores en educación física y deporte,3423,Instructores de educación física y actividades recreativas
28,"Enfermeras, técnicos en medicina y trabajadores de apoyo en salud",,
281,Enfermeras y técnicos en medicina,,
2811,Enfermeras (técnicas),3221,Profesionales de nivel medio de enfermería
2811,Enfermeras (técnicas),3253,Trabajadores comunitarios de la salud
2812,"Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas",3211,Técnicos en aparatos de diagnóstico y tratamiento médico
2812,"Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas",3254,Técnicos en optometría y ópticos
2812,"Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas",3255,Técnicos y asistentes fisioterapeutas
2812,"Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas",3259,Profesionales de la salud de nivel medio no clasificados bajo otros epígrafes
2813,Técnicos de laboratorios médicos,3212,Técnicos de laboratorios médicos
2814,Técnicos y asistentes farmacéuticos,3213,Técnicos y asistentes farmacéuticos
2815,Técnicos de prótesis médicas y dentales,3214,Técnicos de prótesis médicas y dentales
2816,Técnicos dietistas y nutriólogos,2265,Dietistas y nutricionistas
2817,Técnicos en medicina alternativa,2230,Profesionales de medicina tradicional y alternativa
282,Trabajadores de apoyo en  salud,,
2821,Auxiliares en enfermería y paramédicos,2240,Practicantes paramédicos
2821,Auxiliares en enfermería y paramédicos,3252,Técnicos en documentación sanitaria
2821,Auxiliares en enfermería y paramédicos,3253,Trabajadores comunitarios de la salud
2821,Auxiliares en enfermería y paramédicos,3256,Practicantes y asistentes médicos
2821,Auxiliares en enfermería y paramédicos,3344,Secretarios médicos
2821,Auxiliares en enfermería y paramédicos,5321,Trabajadores de los cuidados personales en instituciones
2821,Auxiliares en enfermería y paramédicos,5322,Trabajadores de los cuidados personales a domicilio
2822,Auxiliares y asistentes dentales,3251,Dentistas auxiliares y ayudantes de odontología
2823,Auxiliares hospitalarios y de medicina,3258,Ayudantes de ambulancias
2823,Auxiliares hospitalarios y de medicina,5321,Trabajadores de los cuidados personales en instituciones
2824,Parteras,3222,Profesionales de nivel medio de partería
2825,Técnicos en seguridad en el trabajo e higiene,3257,"Inspectores de la salud laboral,  medioambiental y afines"
2826,"Curanderos, hierberos y hueseros",3230,Profesionales de nivel medio de medicina tradicional y alternativa
2827,Fumigadores y controladores de plagas,7544,Fumigadores y otros controladores de plagas y malas hierbas
29,"Otros especialistas y técnicos, no clasificados anteriormente",,
299,"Otros especialistas y técnicos, no clasificados anteriormente",,
2991,Otros especialistas no clasificados anteriormente,NA,No tiene correspondencia
2992,Otros técnicos no clasificados anteriormente,NA,No tiene correspondencia
3,Trabajadores auxiliares en actividades administrativas,,
31,"Secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte",,
310,"Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte",,
3101,"Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte",3341,Supervisores de secretaria
311,"Secretarias, taquígrafos, mecanógrafos, capturistas de datos y operadores de máquinas de oficina",,
3111,Secretarias ,3343,Secretarios administrativos y ejecutivos
3111,Secretarias ,3344,Secretarios médicos
3111,Secretarias ,4120,Secretarios (general)
3112,"Taquígrafos, mecanógrafos y similares",4131,Operadores de máquinas de procesamiento de texto y mecanógrafos
3112,"Taquígrafos, mecanógrafos y similares",4414,Escribientes públicos y afines
3113,Capturistas de datos,4132,Grabadores de datos
3114,"Operadores de máquinas de oficina (fotocopiadora, etcétera)",4131,Operadores de máquinas de procesamiento de texto y mecanógrafos
3115,Trabajadores de apoyo en actividades administrativas diversas,4110,Oficinistas generales
312,"Cajeros, cobradores y pagadores",,
3121,"Cajeros, taquilleros y receptores de apuestas",4211,Cajeros de bancos y afines
3121,"Cajeros, taquilleros y receptores de apuestas",4212,Receptores de apuestas y afines
3121,"Cajeros, taquilleros y receptores de apuestas",5230,Cajeros y expendedores de billetes
3122,"Cobradores, pagadores y prestamistas",4214,Cobradores y afines
3122,"Cobradores, pagadores y prestamistas",5112,Revisores y cobradores de los transportes públicos
3122,"Cobradores, pagadores y prestamistas",4213,Prestamistas
313,Trabajadores en archivo y control de almacén y bodega,,
3131,Trabajadores en archivo y correspondencia,4415,Empleados de archivos
3132,Encargados y trabajadores en control de almacén y bodega,4321,Empleados de control de abastecimientos e inventario
3132,Encargados y trabajadores en control de almacén y bodega,4322,Empleados de servicios de apoyo a la producción
314,Trabajadores en el control de la operación de transporte,,
3141,Despachadores de transporte,4323,Empleados de servicios de transporte
3142,Checadores y revisores de transporte,5112,Revisores y cobradores de los transportes públicos
32,Trabajadores que brindan y manejan información,,
320,Supervisores de trabajadores que brindan y manejan información,,
3201,Supervisores de trabajadores que brindan y manejan información,3341,Supervisores de secretaría
321,"Recepcionistas, trabajadores que brindan información y telefonistas",,
3211,Recepcionistas y trabajadores que brindan información (de forma personal),4224,Recepcionistas de hoteles
3211,Recepcionistas y trabajadores que brindan información (de forma personal),4225,Empleados de ventanillas de informaciones
3211,Recepcionistas y trabajadores que brindan información (de forma personal),4226,Recepcionistas (general)
3212,Trabajadores que brindan información por teléfono (centro de llamadas) y anunciadores ,4222,Empleados de centros de llamadas
3213,Telefonistas y telegrafistas,4223,Telefonistas
3213,Telefonistas y telegrafistas,4131,Operadores de máquinas de procesamiento de texto y mecanógrafos
322,Trabajadores en agencias de viajes e información  turística,,
3221,Trabajadores en agencias de viajes,4221,Empleados de agencias de viajes
3222,"Guías de turismo en museos, casinos, parques, cines y otros centros recreativos",5113,Guías de turismo
323,Encuestadores y codificadores,,
3231,Encuestadores ,4227,Entrevistadores de encuestas y de investigaciones de mercados
3232,Codificadores de información,4413,"Codificadores de datos, correctores de pruebas de imprenta y afines"
39,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados  anteriormente ",,
399,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",,
3999,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",4416,Empleados del servicio de personal
3999,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",4419,Personal de apoyo administrativo no clasificado bajo otros epígrafes
3999,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",4229,Empleados de servicios de información al cliente no clasificados bajo otros epígrafes
4,"Comerciantes, empleados en ventas y agentes de ventas",,
41,Comerciantes en establecimientos,,
411,Comerciantes en establecimientos,,
4111,Comerciantes en establecimientos,5221,Comerciantes de tiendas
4111,Comerciantes en establecimientos,5211,Vendedores de quioscos y de puestos de mercado
42,Empleados de ventas en establecimientos,,
420,Encargados y supervisores de ventas de productos y de servicios financieros y de alquiler,,
4201,Encargados y supervisores de ventas de productos y de servicios financieros y de alquiler,5222,Supervisores de tiendas y almacenes
421,Empleados de ventas y vendedores por teléfono,,
4211,"Empleados de ventas, despachadores y dependientes en comercios",5223,Asistentes de venta de tiendas y almacenes
4212,"Anaqueleros, acomodadores y seleccionadores de mercancías y alimentadores de máquinas expendedoras",5211,Vendedores de quioscos y de puestos de mercado
4212,"Anaqueleros, acomodadores y seleccionadores de mercancías y alimentadores de máquinas expendedoras",5245,Expendedores de gasolineras
4212,"Anaqueleros, acomodadores y seleccionadores de mercancías y alimentadores de máquinas expendedoras",5223,Asistentes de venta de tiendas y almacenes
4213,Vendedores por teléfono ,5244,Vendedores por teléfono
4214,Choferes vendedores,5223,Asistentes de venta de tiendas y almacenes
422,"Agentes, representantes de ventas y vendedores por catálogo",,
4221,Agentes y representantes de ventas y consignatarios,2433,Profesionales de ventas técnicas y médicas (excluyendo la TIC)
4221,Agentes y representantes de ventas y consignatarios,2434,Profesionales de ventas de tecnología de la información y las comunicaciones
4221,Agentes y representantes de ventas y consignatarios,3322,Representantes comerciales
4221,Agentes y representantes de ventas y consignatarios,3324,Agentes de compras y consignatarios
4222,Agentes de seguros y servicios financieros (ejecutivos de cuenta),3321,Agentes de seguros
4222,Agentes de seguros y servicios financieros (ejecutivos de cuenta),3311,"Agentes de bolsa, cambio y otros servicios financieros"
4222,Agentes de seguros y servicios financieros (ejecutivos de cuenta),4312,"Empleados de servicios estadísticos, financieros y de seguros"
4223,Agentes de bienes raíces ,3334,Agentes inmobiliarios
4224,Vendedores por catálogo,3322,Representantes comerciales
423,Trabajadores en la promoción de ventas y modelos,,
4231,Demostradores y promotores,5242,Demostradores de tiendas
4232,Edecanes ,5242,Demostradores de tiendas
4233,"Modelos de moda, arte y publicidad",5241,"Modelos de moda, arte y publicidad"
43,Trabajadores en el alquiler,,
431,Trabajadores en el alquiler,,
4311,"Trabajadores en el alquiler inmobiliario (casas, terrenos, etcétera)",3334,Agentes inmobiliarios
4312,"Trabajadores en el alquiler de bienes muebles (loza, películas, video juegos, etcétera)",NA,No tiene correspondencia
49,"Otros comerciantes, empleados en ventas y agentes de ventas en establecimientos, no clasificados ",,
499,"Otros comerciantes, empleados en ventas y agentes de ventas en establecimientos, no clasificados anteriormente",,
4999,"Otros comerciantes, empleados en ventas y agentes de ventas en establecimientos, no clasificados anteriormente",NA,No tiene correspondencia
5,Trabajadores en servicios personales y vigilancia,,
51,Trabajadores en la preparación y servicio de alimentos y bebidas en establecimientos,,
510,"Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería",,
5101,"Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería",3434,Chefs
5101,"Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería",5120,Cocineros
5101,"Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería",5131,Camareros de mesas
5101,"Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería",5132,Camareros de barra
5101,"Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería",5246,Vendedores de comidas al mostrador
511,Trabajadores en la preparación y servicio de alimentos y bebidas en establecimientos,,
5111,Cocineros,5120,Cocineros
5112,"Fonderos, vendedores y comerciantes de comida",5120,Cocineros
5113,Cocineros domésticos,5120,Cocineros
5114,"Taqueros y preparadores de comida rápida, antojitos, pizzas, hot dogs, jugos, café, etcétera",5246,Vendedores de comidas al mostrador
5114,"Taqueros y preparadores de comida rápida, antojitos, pizzas, hot dogs, jugos, café, etcétera",9411,Cocineros de comidas rápidas
5115,Cantineros,5132,Camareros de barra
5116,Meseros ,5131,Camareros de mesas
52,Trabajadores en cuidados personales y del hogar,,
520,Supervisores y encargados de trabajadores en cuidados personales y del hogar ,,
5201,Supervisores y encargados de trabajadores en cuidados personales y del hogar,NA,Nota: clasifica a los supervisores junto a los trabajadores que supervisa
521,"Peluqueros, embellecedores y similares",,
5211,"Peluqueros, barberos, estilistas y peinadores",5141,Peluqueros
5212,"Maquillistas, manicuristas, pedicuristas y tatuadores",5142,Especialistas en tratamientos de belleza y afines
5213,Bañeros y masajistas,5142,Especialistas en tratamientos de belleza y afines
522,Trabajadores en el cuidado de personas,,
5221,"Cuidadores de niños, personas con discapacidad y ancianos en establecimientos",5311,Cuidadores de niños
5221,"Cuidadores de niños, personas con discapacidad y ancianos en establecimientos",5321,Trabajadores de los cuidados personales en instituciones
5221,"Cuidadores de niños, personas con discapacidad y ancianos en establecimientos",5312,Auxiliares de maestros
5222,"Cuidadores de niños, personas con discapacidad y ancianos en casas particulares",5311,Cuidadores de niños
5222,"Cuidadores de niños, personas con discapacidad y ancianos en casas particulares",5162,Acompañantes y ayudantes de cámara
523,Azafatas y sobrecargos,,
5231,Azafatas y sobrecargos,5111,Auxiliares de servicio de abordo
524,Jardineros,,
5241,Jardineros en establecimientos,6113,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
5242,Jardineros en casas particulares,6113,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
525,Trabajadores en otros servicios personales,,
5251,"Astrólogos, adivinadores y afines",5161,"Astrólogos, adivinadores y afines"
5252,Trabajadores dedicados a la prostitución,5169,Trabajadores de servicios personales no clasificados bajo otros epígrafes
5253,Trabajadores en servicios funerarios,5163,Personal de pompas fúnebres y embalsamadores
5254,Entrenadores de animales y ocupaciones relacionadas con el cuidado de mascotas,5164,Cuidadores de animales
5254,Entrenadores de animales y ocupaciones relacionadas con el cuidado de mascotas,6129,Criadores y trabajadores pecuarios calificados de la cría de animales no clasificados bajo otros epígrafes
53,Trabajadores en servicios de protección y vigilancia,,
530,Supervisores en servicios de protección y vigilancia,,
5301,Supervisores en servicios de protección y vigilancia ,NA,Nota: clasifica a los supervisores junto a los trabajadores que supervisa
531,Trabajadores en servicios de protección y vigilancia,,
5311,Bomberos,5411,Bomberos
5312,Policías y agentes de tránsito ,5412,Policías
5313,Vigilantes y guardias en establecimientos,5413,Guardianes de prisión
5313,Vigilantes y guardias en establecimientos,5414,Guardias de protección
5314,Vigilantes y porteros en casas particulares,5414,Guardias de protección
54,Trabajadores de las fuerzas armadas,,
540,Supervisores de las fuerzas armadas,,
5401,Supervisores de las fuerzas armadas,0210,Suboficiales de las fuerzas armadas
541,Trabajadores de las fuerzas armadas,,
5411,Trabajadores de la fuerza armada aérea,0310,Otros miembros de las fuerzas armadas
5412,Trabajadores de la fuerza armada marítima,0310,Otros miembros de las fuerzas armadas
5413,Trabajadores de la fuerza armada terrestre,0310,Otros miembros de las fuerzas armadas
59,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",,
599,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",,
5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",5419,Personal de los servicios de protección no clasificados bajo otros epígrafes
6,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",,
61,Trabajadores en actividades agrícolas y ganaderas,,
610,"Supervisores, encargados y capataces agropecuarios",,
6101,"Supervisores, encargados y capataces agropecuarios",NA,Nota: clasifica a los supervisores junto a los trabajadores que supervisa
611,Trabajadores en actividades agrícolas,,
6111,Trabajadores en el cultivo de maíz y/o frijol,6111,Agricultores y trabajadores calificados de cultivos extensivos
6111,Trabajadores en el cultivo de maíz y/o frijol,6114,Agricultores y trabajadores calificados de cultivos mixtos
6111,Trabajadores en el cultivo de maíz y/o frijol,6310,Trabajadores agrícolas de subsistencia
6111,Trabajadores en el cultivo de maíz y/o frijol,6111,Agricultores y trabajadores calificados de cultivos extensivos
6112,Trabajadores en el cultivo de hortalizas y verduras,6114,Agricultores y trabajadores calificados de cultivos mixtos
6112,Trabajadores en el cultivo de hortalizas y verduras,6310,Trabajadores agrícolas de subsistencia
6112,Trabajadores en el cultivo de hortalizas y verduras,6112,Agricultores y trabajadores calificados de plantaciones de árboles y arbustos
6113,"Trabajadores en el cultivo de café, cacao y tabaco",6114,Agricultores y trabajadores calificados de cultivos mixtos
6113,"Trabajadores en el cultivo de café, cacao y tabaco",6310,Trabajadores agrícolas de subsistencia
6113,"Trabajadores en el cultivo de café, cacao y tabaco",6112,Agricultores y trabajadores calificados de plantaciones de árboles y arbustos
6114,Trabajadores en el cultivo de frutales,6114,Agricultores y trabajadores calificados de cultivos mixtos
6115,Trabajadores en el cultivo de flores,6113,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
6115,Trabajadores en el cultivo de flores,6310,Trabajadores agrícolas de subsistencia
6115,Trabajadores en el cultivo de flores,6111,Agricultores y trabajadores calificados de cultivos extensivos
6115,Trabajadores en el cultivo de flores,6114,Agricultores y trabajadores calificados de cultivos mixtos
6115,Trabajadores en el cultivo de flores,6310,Trabajadores agrícolas de subsistencia
6116,Trabajadores en otros cultivos agrícolas,NA,No tiene correspondencia
6117,Trabajadores en actividades de beneficio de productos agrícolas,NA,No tiene correspondencia
6119,"Otros trabajadores en actividades agrícolas, no clasificados anteriormente",NA,No tiene correspondencia
612,Trabajadores en actividades ganaderas y en la cría de animales,,
6121,Trabajadores en la cría de ganado bovino,6121,Criadores de ganado
6121,Trabajadores en la cría de ganado bovino,6320,Trabajadores pecuarios de subsistencia
6122,Trabajadores en la cría de porcinos,6121,Criadores de ganado
6122,Trabajadores en la cría de porcinos,6320,Trabajadores pecuarios de subsistencia
6123,Trabajadores en la cría avícola,6122,Avicultores y trabajadores calificados de la avicultura
6123,Trabajadores en la cría avícola,6320,Trabajadores pecuarios de subsistencia
6124,Trabajadores en la cría de caprinos y ovinos,6121,Criadores de ganado
6124,Trabajadores en la cría de caprinos y ovinos,6320,Trabajadores pecuarios de subsistencia
6125,Trabajadores en la cría de equinos,6121,Criadores de ganado
6125,Trabajadores en la cría de equinos,6320,Trabajadores pecuarios de subsistencia
6126,Trabajadores en la apicultura,6123,Apicultores y sericultores y trabajadores calificados de la apicultura y la sericultura
6127,Trabajadores en la cría y cuidado de otro tipo de animales,6129,Criadores y trabajadores pecuarios calificados de la cría de animales no clasificados bajo otros epígrafes
6128,Trabajadores en actividades de beneficio de productos pecuarios,NA,No tiene correspondencia
6129,"Otros trabajadores en actividades ganaderas y en la cría de animales, no clasificados anteriormente",6129,Criadores y trabajadores pecuarios calificados de la cría de animales no clasificados bajo otros epígrafes
613,Trabajadores que combinan actividades agrícolas con ganaderas,,
6131,Trabajadores que combinan actividades agrícolas con ganaderas,6130,Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado
6131,Trabajadores que combinan actividades agrícolas con ganaderas,6330,Trabajadores agropecuarios de subsistencia
62,"Trabajadores en actividades pesqueras, forestales, caza y similares",,
620,"Supervisores, encargados y capataces de trabajadores en actividades pesqueras, acuícolas, forestales, caza y similares",,
6201,"Supervisores, encargados y capataces de trabajadores en actividades pesqueras, acuícolas, forestales, caza y similares",NA,Nota: clasifica a los supervisores junto a los trabajadores que supervisa
621,Trabajadores en actividades pesqueras y de acuacultura,,
6211,Trabajadores en actividades pesqueras,6222,Pescadores de agua dulce y en aguas costeras
6211,Trabajadores en actividades pesqueras,6223,Pescadores de alta mar
6211,Trabajadores en actividades pesqueras,6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia"
6212,Trabajadores en actividades de acuacultura,6221,Trabajadores de explotaciones de acuicultura
6213,Trabajadores en actividades de beneficio de productos pesqueros o acuícolas,NA,No tiene correspondencia
622,Trabajadores en actividades silvícolas y forestales,,
6221,"Taladores, trocadores, cortadores de árboles y similares",6210,Trabajadores forestales calificados y afines
6222,"Caucheros, chicleros, resineros y similares",6210,Trabajadores forestales calificados y afines
6223,Trabajadores en viveros e invernaderos,6113,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
6224,"Trabajadores en actividades de plantación, reforestación y conservación de bosques",6210,Trabajadores forestales calificados y afines
6225,Cortadores de leña ,6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia"
6226,"Trabajadores en actividades de recolección de plantas, hierbas y raíces no cultivadas",6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia"
6227,Productores de carbón vegetal,6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia"
6227,Productores de carbón vegetal,6210,Trabajadores forestales calificados y afines
623,"Trabajadores en actividades de caza, trampería y similares",,
6231,"Trabajadores en actividades de caza, trampería y similares",6224,Cazadores y tramperos
6231,"Trabajadores en actividades de caza, trampería y similares",6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia"
63,Operadores de maquinaria agropecuaria y  forestal,,
631,Operadores de maquinaria agropecuaria y  forestal,,
6311,Operadores de maquinaria agropecuaria y forestal,8341,Operadores de maquinaria agrícola y forestal móvil
69,"Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente",,
699,"Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente",,
6999,"Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente",NA,No tiene correspondencia
7,Trabajadores artesanales ,,
71,Trabajadores en la extracción y la edificación de construcciones,,
710,"Supervisores de trabajadores en la extracción, albañiles y en acabados de la construcción",,
7101,"Supervisores de trabajadores en la extracción, albañiles y en acabados de la construcción",3121,Supervisores en ingeniería de minas
7101,"Supervisores de trabajadores en la extracción, albañiles y en acabados de la construcción",3123,Supervisores de la construcción
711,Trabajadores en la extracción,,
7111,Mineros y trabajadores en la extracción en minas de minerales metálicos ,8111,Mineros y operadores de instalaciones mineras
7112,"Trabajadores en la extracción de cantera, arcilla, arena, piedra y grava",8111,Mineros y operadores de instalaciones mineras
7113,Dinamiteros y buzos en perforación de pozos y en la construcción,7541,Buzos
7113,Dinamiteros y buzos en perforación de pozos y en la construcción,7542,Dinamiteros y pegadores
712,Albañiles y otros trabajadores en la edificación de construcciones,,
7121,"Albañiles, mamposteros y afines  ",7111,Constructores de casas
7121,"Albañiles, mamposteros y afines  ",7112,Albañiles
7121,"Albañiles, mamposteros y afines  ",7113,"Mamposteros, tronzadores, labrantes y grabadores de piedra"
7121,"Albañiles, mamposteros y afines  ",7114,"Operarios en cemento armado, enfoscadores y afines"
7122,"Techadores (colocadores de palapas, etcétera) ",7121,Techadores
7123,Carpinteros de obra negra ,7115,Carpinteros de armar y de obra blanca
713,"Yeseros, instaladores de pisos, climas, impermeabilizante, vidrio, etc., plomeros y pintores",,
7131,"Yeseros, escayolistas y otros recubridores de techos y paredes  ",7123,Revocadores
7132,"Instaladores de pisos, azulejos, mosaicos y baldosas",7122,Parqueteros y colocadores de suelos
7133,"Instaladores de material aislante, de impermeabilización, vidrio y otros materiales",7124,Instaladores de material aislante y de insonorización
7133,"Instaladores de material aislante, de impermeabilización, vidrio y otros materiales",7125,Cristaleros
7134,"Plomeros, fontaneros e instaladores de tubería ",7126,Fontaneros e instaladores de tuberías
7135,Pintores de brocha gorda ,7131,Pintores y empapeladores
72,Artesanos y trabajadores en el tratamiento y elaboración de productos de metal  ,,
720,Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal,,
7201,Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal,NA,Nota: clasifica a los supervisores junto a los trabajadores que supervisa
721,"Moldeadores, soldadores, hojalateros y pintores de metales ",,
7211,"Moldeadores, torneros y troqueladores",7211,Moldeadores y macheros
7212,Soldadores y oxicortadores,7212,Soldadores y oxicortadores
7213,"Hojalateros, chaperos, latoneros, cobreros y pintores de metales",7213,Chapistas y caldereros
7213,"Hojalateros, chaperos, latoneros, cobreros y pintores de metales",7132,Barnizadores y afines
7214,Montadores de estructuras metálicas,7214,Montadores de estructuras metálicas
7214,Montadores de estructuras metálicas,7215,Aparejadores y empalmadores de cables
722,"Herreros, cerrajeros, joyeros y artesanos en la elaboración de productos de metal",,
7221,"Herreros, balconeros, aluminadores y forjadores",7221,Herreros y forjadores
7222,"Cerrajeros, afiladores y pulidores de herramientas",7222,Herramentistas y afines
7223,"Joyeros, orfebres, plateros y pulidores de metal",7313,"Joyeros, orfebres y plateros"
7223,"Joyeros, orfebres, plateros y pulidores de metal",7224,Pulidores de metales y afiladores de herramientas
73,"Artesanos y trabajadores en la elaboración de productos de madera, papel, textiles y de cuero y piel ",,
730,"Supervisores de artesanos y trabajadores en la elaboración de productos de madera, papel, textiles y de cuero y piel",,
